gene	chr	pos	basemean	log2fc	pvalue	padj
Gene_7947	chr15	56950626	4.3	3.9537	8.648172e-04	1.000000e+00
Gene_2579	chr1	183835506	2798.2	-0.1523	8.255248e-02	1.000000e+00
Gene_2267	chr16	44300436	426.8	-0.1306	1.477934e-01	1.000000e+00
Gene_0762	chr1	129184576	15.5	0.3259	1.066058e-01	1.000000e+00
Gene_1768	chr11	49029441	215.8	0.0513	3.891300e-01	1.000000e+00
Gene_7720	chr11	16692147	19.1	3.9641	1.161834e-04	1.000000e+00
Gene_0740	chrX	105499102	264.2	-0.0707	3.380408e-01	7.992952e-01
Gene_7719	chr2	82818625	60.8	-2.9591	6.390854e-04	1.000000e+00
Gene_7887	chr6	124520603	4.0	2.7388	6.484439e-04	1.000000e+00
Gene_4301	chr13	72447443	227.8	-0.603	2.509189e-04	1.000000e+00
Gene_2416	chrX	120413216	1589.7	-0.337	1.407306e-03	1.000000e+00
Gene_6625	chr6	145462595	17.1	-0.6475	1.400449e-02	1.000000e+00
Gene_6707	chr3	37740144	2441.1	0.257	4.408344e-03	1.000000e+00
Gene_7696	chr16	55924964	22.0	-1.8475	6.249665e-04	1.000000e+00
Gene_7235	chr8	53910902	1822.0	-0.037	3.966859e-02	1.000000e+00
Gene_0819	chr1	163659605	180.9	0.5444	1.780166e-01	1.000000e+00
Gene_2522	chr16	65376412	40.3	-0.2812	1.201818e-02	3.305048e-03
Gene_6833	chrY	9722595	30.6	0.0392	2.834280e-01	9.209324e-03
Gene_2533	chr10	96478872	128.4	-0.0465	1.583987e-01	1.000000e+00
Gene_4812	chr10	4188852	822.0	-0.2051	2.275921e-02	1.000000e+00
Gene_0018	chr15	36446271	229.3	-0.1444	1.712561e-03	1.490403e-01
Gene_4196	chr1	114341812	2706.0	0.1504	1.210894e-01	2.890207e-01
Gene_6650	chr1	216713919	2.0	0.3671	2.072031e-05	1.000000e+00
Gene_7939	chr17	5952974	39.2	-3.2544	8.259747e-04	1.000000e+00
Gene_5706	chr10	28668008	19.5	0.2406	1.462320e-01	9.885686e-02
Gene_0413	chrX	31334259	43.0	-0.0136	9.567685e-02	1.000000e+00
Gene_0964	chr13	8820940	158.9	0.5239	1.790573e-03	1.000000e+00
Gene_3210	chr5	122790830	4.0	-0.0661	5.260713e-03	1.000000e+00
Gene_4058	chr4	168493834	46.0	-0.2723	5.616939e-02	1.000000e+00
Gene_3280	chr5	71535584	14.5	0.5444	1.505866e-02	1.000000e+00
Gene_3784	chr1	196706980	909.2	-0.0258	6.596206e-03	1.000000e+00
Gene_0196	chr8	13407383	581.0	-0.5413	1.355157e-04	1.000000e+00
Gene_6360	chr22	12633946	407.7	0.0835	6.386067e-03	1.000000e+00
Gene_5228	chr19	54823488	15.1	0.0195	1.338881e-01	1.000000e+00
Gene_1749	chr4	136020301	15.6	-0.084	1.761841e-02	1.000000e+00
Gene_0843	chr12	85941489	248.4	-0.412	1.486274e-01	1.000000e+00
Gene_5450	chr19	2775615	2404.2	0.0263	1.643966e-01	1.000000e+00
Gene_6821	chr12	42945527	2784.9	-0.1273	1.754385e-02	1.000000e+00
Gene_2398	chr12	75691541	372.9	0.0204	5.811448e-02	1.000000e+00
Gene_0562	chr1	181206171	23.2	0.5082	1.757393e-02	1.000000e+00
Gene_4055	chr2	211384409	214.8	-0.3295	2.802573e-01	1.000000e+00
Gene_7176	chr1	125679808	179.8	0.3688	1.263248e-01	8.959907e-02
Gene_2570	chr11	79626666	36.2	0.1168	8.741271e-02	1.000000e+00
Gene_1772	chr8	75144033	4.4	0.0901	6.504085e-06	1.000000e+00
Gene_0700	chr19	17647887	42.3	-0.1366	2.318763e-02	1.000000e+00
Gene_4249	chr14	76348103	143.8	-0.3152	5.717987e-02	1.000000e+00
Gene_5382	chr4	76465488	237.6	-0.159	2.619819e-02	1.254000e-03
Gene_6615	chr10	42937711	18.8	-0.0519	2.351257e-01	1.000000e+00
Gene_5744	chr2	87633316	17.6	0.5511	1.561643e-01	1.000000e+00
Gene_7007	chr7	101617489	32.0	0.8792	1.707113e-02	1.000000e+00
Gene_1968	chr3	57251992	211.4	0.0076	9.620023e-02	1.000000e+00
Gene_1397	chr9	24473803	18.8	-0.2741	1.391523e-01	1.000000e+00
Gene_3680	chr18	79909592	294.2	-0.1958	1.116824e-01	1.000000e+00
Gene_1194	chr4	26218058	262.2	-0.205	2.604405e-01	1.000000e+00
Gene_7490	chr9	104328353	395.0	-0.2311	4.433456e-02	8.006318e-01
Gene_6891	chr9	25792705	19.8	-0.0719	3.274139e-02	3.019787e-01
Gene_4181	chrX	121482847	502.0	0.3837	2.795727e-01	6.174085e-01
Gene_2728	chr7	57811511	2911.2	-0.0226	6.511111e-02	1.000000e+00
Gene_7437	chr21	16652918	40.0	0.144	4.581923e-03	1.000000e+00
Gene_0273	chr1	55332985	612.3	0.0271	3.957165e-02	4.228280e-02
Gene_3808	chr8	111406017	587.8	-0.0666	1.231907e-01	1.000000e+00
Gene_2843	chr2	161234799	4.3	0.0041	2.010387e-01	1.000000e+00
Gene_6459	chr3	90656288	2320.9	-0.0256	1.214307e-02	1.000000e+00
Gene_5440	chr2	179202737	661.5	-0.1125	1.159135e-02	1.000000e+00
Gene_6125	chr9	54372977	675.0	-0.1491	3.430431e-01	1.000000e+00
Gene_2394	chr12	12095285	162.1	-0.2659	1.280955e-02	1.000000e+00
Gene_0298	chr8	40744496	7.6	-0.3809	8.666052e-02	1.000000e+00
Gene_6374	chr2	117711839	422.6	-0.0026	1.182927e-01	1.000000e+00
Gene_1030	chr1	77880465	43.2	0.4417	1.208585e-03	1.000000e+00
Gene_4833	chr2	167381534	1263.6	0.2321	4.325376e-01	1.000000e+00
Gene_6303	chr19	49583219	5.0	-0.3518	5.812947e-02	1.000000e+00
Gene_2500	chr10	124940509	342.7	-0.2624	1.184245e-01	1.000000e+00
Gene_7239	chr10	17436229	64.7	0.2937	8.459475e-04	5.778451e-02
Gene_4384	chr11	48514853	11491.1	-0.3776	1.887098e-02	6.073033e-01
Gene_7882	chr16	61205403	91.4	-4.5722	3.982350e-04	1.000000e+00
Gene_4159	chr5	70165016	933.6	-0.1911	1.281663e-01	1.000000e+00
Gene_1365	chr13	63450316	245.9	-0.1284	1.757113e-01	1.218792e-01
Gene_0132	chr7	69933530	10.1	0.3628	1.567446e-01	1.000000e+00
Gene_6951	chr2	133083880	1298.8	0.1972	9.222784e-03	1.000000e+00
Gene_7913	chr16	11585762	8.6	3.3926	5.823803e-04	1.000000e+00
Gene_4323	chrX	93266495	7.8	0.2199	4.387308e-02	1.000000e+00
Gene_4820	chr9	95366026	14.0	0.3525	4.576913e-03	1.812150e-02
Gene_3765	chrX	18815948	34.7	0.5732	3.543560e-01	1.000000e+00
Gene_6892	chr2	57113529	62.4	-0.1364	2.410253e-04	3.879175e-01
Gene_5042	chr7	36358060	4.4	-0.2727	1.964343e-02	1.000000e+00
Gene_6162	chr4	148892958	331.2	-0.1348	4.166954e-03	1.000000e+00
Gene_2724	chr8	80084665	360.9	0.5647	1.501283e-01	2.361597e-01
Gene_2541	chr2	38277824	13.6	0.2218	1.522332e-05	1.000000e+00
Gene_1555	chr12	122141184	376.8	0.5065	2.023977e-02	1.000000e+00
Gene_4088	chr4	177477437	445.2	0.2499	1.294050e-02	1.000000e+00
Gene_1845	chr8	111779438	136.6	0.1654	1.607951e-02	1.810207e-01
Gene_4219	chr9	95703343	205.0	-0.1995	6.640287e-02	2.980351e-02
Gene_6119	chr2	32749322	1840.4	-0.4475	2.028805e-01	3.681649e-03
Gene_4336	chrY	19176757	22.2	0.503	3.132563e-01	1.000000e+00
Gene_7095	chr1	134665979	21.5	-0.1463	8.013785e-02	9.833438e-02
Gene_7047	chrX	132264236	118.6	-0.1813	5.757718e-02	4.728362e-01
Gene_4477	chr18	50750467	4.2	-0.3216	1.059621e-01	1.000000e+00
Gene_6913	chr22	50730968	446.2	-0.3855	3.343655e-02	1.000000e+00
Gene_3678	chr9	41879951	118.3	-0.1445	3.889899e-02	1.000000e+00
Gene_5922	chr18	21778970	681.9	-0.1593	8.462311e-02	1.000000e+00
Gene_3112	chr21	22216451	169.2	-0.393	2.070044e-02	1.000000e+00
Gene_7690	chr20	62345314	1984.1	4.6652	9.268140e-04	1.331296e-01
Gene_6533	chr2	80928655	28.2	-0.012	2.701884e-04	1.000000e+00
Gene_7990	chrY	46946378	8.5	-4.1726	1.455200e-04	1.000000e+00
Gene_1308	chr12	28143484	3.8	-0.2452	7.917772e-02	6.839721e-02
Gene_6307	chr9	33640024	2041.7	0.2368	7.726298e-02	3.799714e-02
Gene_5152	chr5	148034968	89.6	-0.2307	3.033074e-02	2.522449e-01
Gene_7326	chr8	84340145	84.7	0.2787	1.003339e-02	1.000000e+00
Gene_7534	chr20	22900854	19.8	-0.1459	2.644022e-02	1.594015e-01
Gene_4584	chr5	65810838	23789.2	-0.1539	1.693602e-02	1.000000e+00
Gene_5717	chr10	4282379	42.9	0.2189	2.328343e-02	8.895476e-03
Gene_5410	chr15	34253877	1166.4	-0.0493	1.145977e-02	1.000000e+00
Gene_4916	chr5	138104968	104.0	-0.4209	1.070919e-02	1.000000e+00
Gene_6141	chr15	37421125	224.0	-0.1292	1.528794e-02	1.000000e+00
Gene_3819	chr19	4296272	273.8	-0.2993	7.823554e-02	1.000000e+00
Gene_6275	chrX	83617773	8778.1	-0.0898	8.644324e-02	1.000000e+00
Gene_6293	chr5	48338945	971.6	0.133	1.604075e-01	6.000884e-02
Gene_0792	chr12	22510630	103.2	0.1375	1.781044e-02	1.000000e+00
Gene_5568	chr15	58745066	1624.0	-0.0943	4.225468e-02	1.280765e-02
Gene_1600	chr10	108001595	96.9	-0.0007	1.264634e-03	1.087154e-01
Gene_6186	chr21	27049823	3145.9	0.2906	1.036747e-01	5.103438e-01
Gene_7244	chr14	11434839	28.6	0.0616	1.042765e-03	1.000000e+00
Gene_6718	chr14	67411341	0.6	0.4264	1.832755e-02	1.346854e-01
Gene_4005	chrX	23286217	790.0	0.1627	2.678042e-02	1.208209e-01
Gene_1855	chr8	38985675	414.8	0.2342	3.921234e-02	1.449185e-03
Gene_4081	chr17	15304322	105.7	-0.161	2.364382e-01	2.841450e-01
Gene_4699	chrX	123692959	1174.5	-0.2238	1.452964e-02	1.000000e+00
Gene_0237	chr7	795416	384.0	-0.0649	1.534670e-03	3.892628e-01
Gene_2694	chr8	43462164	1246.6	-0.1375	1.754990e-02	5.889547e-01
Gene_5769	chr3	56298100	4.1	0.1106	9.056109e-02	1.000000e+00
Gene_2047	chr8	132514304	259.4	0.2785	1.795690e-02	1.000000e+00
Gene_7038	chr5	131754070	74.3	0.2987	2.118657e-01	1.000000e+00
Gene_2580	chr7	51792864	82.5	-0.2993	1.416168e-02	1.000000e+00
Gene_1452	chr10	79446075	264.3	-0.1766	9.504583e-02	1.768927e-01
Gene_5573	chr13	91725415	16.7	-0.5365	6.277698e-02	1.000000e+00
Gene_6366	chrX	123240007	9.1	-0.0331	5.002175e-01	1.000000e+00
Gene_1079	chr9	72340173	1904.9	0.0569	3.161225e-03	1.000000e+00
Gene_0188	chrX	113401392	387.5	0.4527	2.632732e-02	1.674841e-01
Gene_4167	chr1	57433173	729.5	0.7114	2.382853e-03	4.226371e-01
Gene_1185	chr16	40982358	133.6	-0.2322	4.215510e-02	4.154345e-01
Gene_0972	chr1	206035668	12.5	0.2554	1.564824e-01	2.300668e-02
Gene_1262	chr4	130394892	10.9	0.0104	3.233211e-01	1.558641e-02
Gene_2517	chr17	11997946	188.7	0.1466	2.522298e-03	1.000000e+00
Gene_2030	chr17	11356783	131.7	0.3795	2.102619e-03	1.152255e-01
Gene_4401	chr2	113155291	801.0	0.2203	1.562097e-01	1.000000e+00
Gene_7651	chr1	107829775	105.0	3.2396	3.561573e-04	1.000000e+00
Gene_6028	chr9	135723588	54.2	-0.0482	4.357804e-02	1.000000e+00
Gene_5286	chr1	127907507	225.9	-0.3684	3.278775e-02	2.608994e-01
Gene_2321	chr20	42245953	1362.2	0.0525	1.260036e-02	2.386896e-01
Gene_7626	chr2	93172807	2044.0	-2.5298	9.186268e-04	1.000000e+00
Gene_6029	chr4	85383569	12.3	0.0831	9.203062e-02	1.000000e+00
Gene_7230	chr17	15639863	43.5	0.6088	7.349168e-02	3.540162e-01
Gene_5733	chr6	73553354	349.2	-0.3819	4.004949e-03	3.145602e-01
Gene_2497	chr10	98903189	4574.8	0.5121	2.423895e-03	1.000000e+00
Gene_6267	chr16	76391116	4001.3	-0.3592	2.210439e-02	1.000000e+00
Gene_3380	chr2	164997946	39.0	0.6343	9.328260e-02	1.000000e+00
Gene_3344	chr9	58668751	54.8	-0.4961	6.187410e-02	2.675721e-01
Gene_3554	chrX	2865531	26.6	-0.3934	1.426236e-01	6.558085e-01
Gene_7249	chr2	60310453	815.8	1.0628	1.050786e-01	1.000000e+00
Gene_1469	chr13	30819144	8.8	-0.0957	6.666034e-02	1.953895e-01
Gene_3816	chr12	75758514	1562.0	0.7158	2.050127e-03	1.000000e+00
Gene_1024	chr12	67049103	251.5	-0.1632	7.360618e-02	1.000000e+00
Gene_1493	chr8	91176049	30.4	-1.1066	3.449851e-02	1.000000e+00
Gene_4017	chr6	170360321	1743.8	0.2379	9.783103e-02	1.000000e+00
Gene_4961	chrY	41019000	26.6	-0.275	3.339947e-01	1.000000e+00
Gene_5813	chr12	124323051	23.4	-0.0228	3.268281e-02	2.896511e-01
Gene_0919	chr2	8242910	41.3	-0.4104	3.499662e-01	1.642402e-03
Gene_1659	chr16	76908852	162.5	0.197	2.646177e-02	1.000000e+00
Gene_2665	chr17	24237746	60.0	-0.0282	1.277655e-03	1.000000e+00
Gene_2897	chr15	47789453	355.4	0.0985	5.578600e-02	4.063528e-01
Gene_3859	chr1	2205350	79.6	-0.2445	8.530614e-02	8.844920e-02
Gene_2286	chr11	44076568	6301.6	-0.2201	3.407894e-01	1.000000e+00
Gene_1484	chr1	4163122	886.7	-0.4609	3.175752e-02	1.000000e+00
Gene_2936	chr7	80655620	23.3	-0.308	6.639639e-02	5.908674e-02
Gene_4617	chr1	115409502	2.7	0.238	1.419577e-01	4.413749e-01
Gene_3334	chr22	18910737	35.0	-0.1423	8.224678e-05	1.000000e+00
Gene_6734	chr7	140972239	73.7	-0.1815	6.556922e-04	1.395226e-01
Gene_2257	chr7	118227039	48.9	-0.1336	6.777475e-02	2.466529e-02
Gene_7206	chr8	67338517	75.7	-0.0656	5.158206e-04	1.000000e+00
Gene_7769	chr2	115919346	759.4	-2.2549	6.411524e-04	4.356335e-05
Gene_7146	chr12	39250531	1109.6	0.2872	1.482499e-01	1.104072e-02
Gene_1243	chr3	165041433	25.8	-0.2279	1.486706e-01	1.000000e+00
Gene_1820	chr5	27365048	109.4	-0.0408	1.135405e-02	1.000000e+00
Gene_6063	chr5	47104339	196.3	0.2739	3.597464e-01	1.000000e+00
Gene_4251	chr2	239252577	1.9	-0.1323	2.903423e-02	1.000000e+00
Gene_3138	chr4	139540161	3.2	-0.0487	3.984432e-02	3.938665e-02
Gene_7679	chr22	46051230	45.6	-3.6357	4.521411e-04	9.545631e-01
Gene_5684	chr1	3804131	1053.3	-0.3903	3.137587e-01	5.826089e-01
Gene_5955	chr14	50410593	93.0	-0.2929	8.634323e-03	1.000000e+00
Gene_4356	chr19	25144354	150.5	-0.0475	2.414479e-01	1.000000e+00
Gene_3929	chr3	116797827	26.5	0.4244	4.691017e-02	1.000000e+00
Gene_0655	chr15	98768397	13.4	-0.294	5.584033e-03	1.421159e-02
Gene_2762	chr16	48802558	27300.3	0.0478	1.840387e-01	1.000000e+00
Gene_2868	chr3	30943656	190.3	0.2564	3.121311e-02	4.851814e-02
Gene_3391	chr9	132160839	38.3	0.4116	5.829219e-04	3.342395e-02
Gene_2820	chr3	150736757	556.2	-0.536	9.087290e-02	8.253831e-03
Gene_1252	chr9	37395057	1028.6	0.4655	1.115265e-01	1.000000e+00
Gene_3050	chr7	48478845	60.5	-0.0349	6.096920e-02	3.224940e-01
Gene_1085	chr20	7169166	691.8	-0.4739	6.770810e-02	6.106178e-01
Gene_1026	chr3	147561584	10.0	0.0952	3.909129e-06	1.000000e+00
Gene_6543	chr14	20151284	195.7	0.316	3.408775e-01	1.000000e+00
Gene_6241	chr9	86860714	337.2	-0.4033	4.337775e-01	1.000000e+00
Gene_0635	chr15	71740678	77.4	0.2011	2.451469e-01	6.624460e-01
Gene_1591	chr2	189897074	1.5	-0.0761	1.197961e-01	9.652170e-01
Gene_7198	chr13	55743693	217.1	0.0536	9.007874e-04	1.000000e+00
Gene_5251	chr9	71531612	57.3	-0.586	1.805326e-01	2.114489e-01
Gene_2102	chr7	96054386	24.0	-0.2173	1.405757e-04	1.000000e+00
Gene_1083	chr20	21505474	16.6	-0.1607	1.411114e-01	1.000000e+00
Gene_0890	chr1	194792398	115.2	0.0262	1.920704e-01	3.498486e-01
Gene_2772	chrY	30311592	1285.1	-0.4415	1.374474e-01	5.963117e-01
Gene_0045	chr10	98295363	735.6	0.2371	4.067685e-02	1.000000e+00
Gene_2318	chr12	115547090	756.3	0.3819	2.748207e-01	2.338437e-01
Gene_2403	chr15	67766604	60.2	0.8112	2.048665e-02	1.000000e+00
Gene_4568	chrX	65195041	2083.8	-0.6611	4.141895e-03	1.000000e+00
Gene_3270	chr4	147742943	16964.4	0.1657	1.234392e-01	1.000000e+00
Gene_5712	chr12	116610411	32.1	-0.3581	1.292207e-02	2.842927e-01
Gene_0821	chr13	78323680	192.4	-0.1778	1.935130e-01	1.000000e+00
Gene_3203	chrX	99570499	126.3	-0.3707	6.457938e-02	2.257125e-02
Gene_1655	chr3	45649912	1803.6	0.4177	8.137146e-03	1.000000e+00
Gene_2007	chr1	98301716	236.9	0.3148	2.625301e-01	9.038548e-02
Gene_2379	chr4	70425084	1966.0	-0.1925	2.634013e-01	1.000000e+00
Gene_3362	chr2	13801605	2842.8	0.001	4.163836e-01	1.000000e+00
Gene_3452	chr6	133632828	58.9	0.1766	2.340417e-02	1.000000e+00
Gene_5066	chr16	12888044	9.8	-0.4218	3.125990e-01	1.000000e+00
Gene_3800	chr8	50229971	632.5	0.4002	1.504931e-01	2.820614e-01
Gene_6634	chr4	90914262	38.2	-0.333	8.697957e-02	4.962816e-01
Gene_3059	chrX	147545717	9.5	0.0195	3.121015e-02	1.000000e+00
Gene_7746	chr18	19172771	7677.0	2.5943	7.093120e-04	7.770717e-01
Gene_4532	chr1	241582472	136.3	0.1647	4.966513e-02	1.000000e+00
Gene_3903	chr4	69508279	4.8	0.393	5.086442e-02	1.000000e+00
Gene_0646	chr5	12506081	415.1	0.3589	9.103733e-02	7.268412e-01
Gene_5896	chr8	115851227	17588.4	-0.1418	6.827947e-03	3.984771e-01
Gene_7729	chr8	2133917	59.9	-3.4357	5.003163e-04	1.000000e+00
Gene_5181	chr12	126423103	128.4	-0.2235	1.124215e-02	2.188869e-01
Gene_7532	chr14	106757815	104.9	-0.5616	1.853656e-01	2.095989e-02
Gene_2086	chr17	62246430	3.8	0.0437	3.199010e-02	1.724665e-02
Gene_4615	chr3	122667370	946.4	-0.2187	3.641209e-02	7.287893e-01
Gene_6968	chr18	24600795	1127.6	0.0854	9.830957e-02	1.000000e+00
Gene_6614	chrX	24088203	288.4	-0.2149	1.174914e-01	1.000000e+00
Gene_1856	chr8	138858883	6.6	0.1283	1.648973e-01	1.000000e+00
Gene_2193	chr17	34641814	20.6	-0.6278	4.652517e-01	8.874189e-01
Gene_1922	chrX	137825567	317.5	0.2834	4.162485e-02	1.000000e+00
Gene_0649	chr6	109030712	472.4	0.3502	2.368481e-02	7.157999e-03
Gene_2839	chr5	106834747	54.8	0.6932	9.555303e-03	1.000000e+00
Gene_4282	chr4	100942130	4844.1	-0.1935	4.234847e-01	1.000000e+00
Gene_0801	chr4	124594987	2519.6	0.003	2.070885e-03	6.035238e-03
Gene_6816	chr2	198767263	3762.7	0.1385	4.809421e-06	1.000000e+00
Gene_4576	chr8	108297126	118.7	-0.4203	1.800939e-01	1.574758e-02
Gene_0249	chr2	396905	22.8	0.276	1.933530e-01	1.000000e+00
Gene_5460	chr19	54454893	36.2	-0.0596	1.796297e-02	6.125917e-03
Gene_2121	chr10	93535369	588.7	0.1903	1.478996e-01	5.225606e-01
Gene_1139	chr16	27511827	22.5	0.0536	1.191728e-01	7.359912e-02
Gene_4472	chr3	96670100	7.7	0.2877	2.958970e-03	1.000000e+00
Gene_4107	chr8	64198374	646.3	-0.0682	1.463262e-01	4.006725e-01
Gene_0842	chr6	35073979	174.8	0.0092	6.404289e-02	2.663657e-01
Gene_0432	chr2	108473657	368.0	-0.2871	4.098157e-01	1.000000e+00
Gene_3659	chr6	92809085	43.1	-0.2299	2.635469e-03	7.396254e-01
Gene_6304	chr7	118927143	81.7	-0.5617	4.857584e-03	3.107094e-01
Gene_1455	chr9	52178047	95.6	0.2787	8.482841e-02	6.795956e-01
Gene_4539	chrX	92372245	206.3	0.0357	4.349259e-02	8.836026e-02
Gene_3762	chr2	179744488	47.0	-0.0829	7.930110e-04	1.000000e+00
Gene_4527	chr4	7872790	55.7	-0.0077	2.980742e-03	1.000000e+00
Gene_4563	chr1	11995491	129.1	-0.2406	2.684192e-01	3.196661e-02
Gene_2083	chr6	72871502	1.4	0.0217	1.732919e-03	4.354564e-02
Gene_7897	chr10	3567270	10.1	-3.6437	7.859022e-04	1.000000e+00
Gene_6169	chr12	78191200	251.1	-0.1899	2.126663e-01	6.433674e-01
Gene_2059	chrX	68758343	9.1	-0.5918	9.319010e-02	1.000000e+00
Gene_3093	chr3	113112002	123.7	0.0648	1.177258e-01	2.699441e-01
Gene_5657	chr5	13464892	278.0	0.5614	3.005743e-03	1.000000e+00
Gene_0975	chr12	100629507	35.7	-0.826	3.862868e-03	8.464746e-02
Gene_5636	chr7	75578043	2674.8	0.341	3.118295e-03	9.171910e-01
Gene_4177	chr8	65198	127.8	0.2423	2.543546e-02	1.000000e+00
Gene_6618	chr3	175815209	65.8	0.0939	2.600099e-01	7.643388e-01
Gene_5941	chrX	64500563	673.9	0.4127	2.775104e-01	1.000000e+00
Gene_2109	chr2	149426464	2321.0	0.1776	1.648935e-01	1.000000e+00
Gene_4084	chr4	110207736	71.5	0.2604	3.808885e-02	1.000000e+00
Gene_1552	chr12	92331369	135.9	0.1674	1.296929e-01	6.520489e-01
Gene_3561	chr7	91013161	257.0	0.5381	1.954995e-02	1.000000e+00
Gene_0847	chr14	22744786	81.8	0.2542	2.115147e-01	1.000000e+00
Gene_5840	chr7	151300001	24.0	0.0938	1.425804e-01	2.602188e-01
Gene_5567	chr3	121059302	132.1	-0.4507	6.863071e-01	1.218926e-02
Gene_1354	chr22	24823751	42.7	-0.0382	2.548822e-01	1.000000e+00
Gene_7195	chr12	48173268	19.1	0.1933	3.913914e-04	1.000000e+00
Gene_7833	chr7	57395459	469.8	-4.4329	5.391288e-04	1.000000e+00
Gene_2686	chr6	152981897	11.1	0.3167	1.737665e-01	1.682636e-02
Gene_1702	chr7	149692607	581.9	-0.4267	5.176862e-02	8.207043e-01
Gene_5476	chr1	139262390	19425.3	0.0496	4.956939e-02	1.000000e+00
Gene_2627	chr7	71026428	34.8	-0.2311	4.990931e-02	5.163964e-01
Gene_3157	chr16	61177239	471.5	0.1635	9.258126e-02	4.529732e-01
Gene_1681	chr18	6252552	24.5	-0.0287	1.049525e-01	1.000000e+00
Gene_4446	chr3	53951469	277.2	-0.5129	1.353498e-01	1.000000e+00
Gene_7948	chr11	130198902	2585.4	-3.6019	9.749302e-04	1.562642e-01
Gene_6061	chr2	139581457	31.9	0.2501	1.179847e-01	3.320035e-01
Gene_2542	chr17	67592708	248.7	-0.6095	4.161752e-01	1.000000e+00
Gene_6875	chr1	139560899	29.0	0.0455	1.890867e-01	1.000000e+00
Gene_5193	chr3	149186182	455.0	-0.0497	6.685808e-04	1.000000e+00
Gene_7197	chr1	39338169	49.9	0.3806	4.146836e-01	4.172327e-01
Gene_7753	chr3	127103577	745.2	3.4719	2.270263e-04	1.000000e+00
